Grid,C-1,C-3,C-5,C-7,C-9,C-11,C-13,C-15,C-17,C-19,C-21,ROW
Hold #,1350,1090,1528,1348,1423,1341,1539,1344,1526,1087,1347,R-35
Angle,215˚,204˚,160˚,210˚,175˚,180˚,175˚,140˚,195,170˚,145˚,R-35
Dist (inches),2.25,3,2,2.25,2.5,2.5,2.5,2.5,2,2.5,2.5,R-35
Hold #,1431,1521,1501,1377,1084,1435,1372,1231,1230,1529,1439,R-33
Angle,190˚,200˚,205˚,155˚,185˚,180˚,180˚,185˚,220˚,145˚,180˚,R-33
Dist (inches),2.5,2.5,2,1.75,3,2.25,2.25,2.5,2.5,2.5,2.75,R-33
Hold #,1222,1207,1436,1240,1444,1210,1442,1218,1300,1234,1531,R-31
Angle,140˚,180˚,140˚,245˚,135˚,180˚,215˚,225˚,155˚,165˚,175˚,R-31
Dist (inches),2.75,2.5,2.5,2.25,2.25,2.25,2.5,2.5,2.5,2.25,2.75,R-31
Hold #,1224,1535,1524,1176,1212,1225,1291,1209,1532,1379,1343,R-29
Angle,205˚,155˚,65˚,280˚,130˚,180˚,135˚,160˚,250˚,175˚,230˚,R-29
Dist (inches),2.25,2.25,2.25,2.5,2.5,2,3.25,2.5,2.5,2.25,2.5,R-29
Hold #,1088,1508,1345,1522,1432,1175,1533,1238,1536,1266,1534,R-27
Angle,175˚,199˚,215˚,165˚,215˚,205˚,145˚,205˚,310˚,170˚,155˚,R-27
Dist (inches),2,2.25,2.5,2.5,2.75,2.5,2.25,2.5,2.25,2.25,2.5,R-27
Hold #,1447,1537,1527,1298,1422,1525,1450,1371,1294,1081,1437,R-25
Angle,215˚,110˚,60˚,230˚,230˚,0˚,235˚,230˚,130˚,155˚,170˚,R-25
Dist (inches),2.5,2.25,2.5,2.75,2.25,2.25,2.5,2.25,3,2.5,2.5,R-25
Hold #,1263,1502,1221,1205,1267,1540,1237,1269,1223,1229,1203,R-23
Angle,150˚,185˚,270˚,225˚,155˚,185˚,155˚,220˚,120˚,175˚,155˚,R-23
Dist (inches),2.25,2.25,2.5,2.5,2.25,2.5,2.5,2.5,2.25,2.5,2.75,R-23
Hold #,1438,1299,1173,1440,1322,1208,1292,1226,1342,1421,1380,R-21
Angle,200˚,220˚,265˚,100˚,270˚,175˚,200˚,270˚,90˚,165˚,170˚,R-21
Dist (inches),2.75,2.25,2.75,2.5,2.25,2.25,2.25,2.5,2.5,2,2.25,R-21
Hold #,1506,1239,1083,1268,1085,1443,1089,1262,1295,1086,1530,R-19
Angle,150˚,230˚,115˚,175˚,60˚,180˚,325˚,175˚,160˚,250˚,250˚,R-19
Dist (inches),2.25,2.5,2.5,2.5,3,2.25,3,2.25,3.5,2.5,2.5,R-19
Hold #,1204,1374,1228,1211,1177,1538,1179,1235,1430,1227,1202,R-17
Angle,170˚,185˚,220˚,130˚,245˚,10˚,145˚,170˚,180˚,210˚,180˚,R-17
Dist (inches),2.5,2,2.5,2.25,2.5,2,2.5,2.25,2.75,2.5,2.5,R-17
Hold #,1220,1429,1448,1172,1296,1446,1216,1449,1180,1261,1232,R-15
Angle,130˚,215˚,85˚,50˚,345˚,270˚,150˚,165˚,315˚,245˚,160˚,R-15
Dist (inches),2.5,2.5,2.5,2,2.5,3,2.25,2.5,2.5,2,2.5,R-15
Hold #,1510,1349,1427,1434,1233,1174,1504,1433,1346,1503,1213,R-13
Angle,175˚,225˚,10˚,130˚,160˚,180˚,225˚,270˚,150˚,175˚,210˚,R-13
Dist (inches),2,2.5,2,2.25,2.5,2.25,2.75,2.5,2.25,2,2.5,R-13
Hold #,1378,1293,1441,1201,1424,1214,1236,1206,1445,1428,1509,R-11
Angle,155˚,220˚,145˚,280˚,225˚,185˚,245˚,55˚,230˚,160˚,230˚,R-11
Dist (inches),2.5,2.5,2.25,2.5,2.25,2.5,2.5,2.5,2.25,2.5,2.75,R-11
Hold #,1171,1217,1215,1265,1325,1264,1219,1523,1426,1328,1178,R-9
Angle,205˚,165˚,185˚,220˚,100˚,180˚,275˚,135˚,235˚,175˚,205˚,R-9
Dist (inches),2.25,2.25,2.5,2,2.5,3.25,2.5,2.25,2.25,2.75,2,R-9
Hold #,1376,1425,1375,1373,1323,1297,1507,1270,1505,1326,1082,R-7
Angle,175˚,160˚,180˚,300˚,180˚,265˚,60˚,345˚,180˚,20˚,250˚,R-7
Dist (inches),2,2,2,2.25,2.5,3,2.5,2.25,2.75,3,2.75,R-7